Delito,n_shares,threshold,shares_perdidos,secreto_reconstruido,correcto
Electorales,4,4,1,,False
Electorales,4,4,2,,False
Electorales,4,4,3,,False
Otros delitos del Fuero Común,4,2,0,2040.0,True
Otros delitos del Fuero Común,4,2,1,2040.0,True
Otros delitos del Fuero Común,4,2,2,2039.0,False
Otros delitos del Fuero Común,4,2,3,,False
Otros delitos del Fuero Común,4,3,0,2039.0,False
Otros delitos del Fuero Común,4,3,1,2040.0,True
Otros delitos del Fuero Común,4,3,2,,False
Otros delitos del Fuero Común,4,3,3,,False
Otros delitos del Fuero Común,4,4,0,2040.0,True
Otros delitos del Fuero Común,4,4,1,,False
Otros delitos del Fuero Común,4,4,2,,False
Otros delitos del Fuero Común,4,4,3,,False
